단지번호,단지명,시구,동,원인,최소면적_㎡,최대면적_㎡,준공년월,위도,경도
8423,만현마을3단지성원상떼빌5차,용인시 수지구,상현동,c_name_var,119.2,119.2,200208.0,37.309698,127.090897
2221,진산마을성원상떼빌,용인시 수지구,상현동,c_name_var,108.06,108.06,199712.0,37.312811,127.092799
8460,서홍마을우남퍼스트빌,용인시 수지구,성복동,c_name_var,58.86,58.86,200401.0,37.320232,127.080357
3746,용인수지신정9단지주공,용인시 수지구,성복동,c_name_var,72.62,72.62,200005.0,37.320078,127.09189
11231,신정7단지상록,용인시 수지구,성복동,c_name_var,81.9,81.9,200001.0,37.321305,127.089833
3745,신정1단지주공,용인시 수지구,성복동,c_name_var,83.51,83.58,200003.0,37.322556,127.091894
3744,신정6단지우성,용인시 수지구,성복동,c_name_var,112.36,112.36,200005.0,37.320157,127.085841
3750,신정2단지현대프라임,용인시 수지구,성복동,c_name_var,101.49,101.49,200002.0,37.323684,127.089883
8439,서홍마을4단지현대,용인시 수지구,성복동,c_name_var,106.32,106.32,200401.0,37.320622,127.081887
102710,용인성복아이파크,용인시 수지구,성복동,c_name_var,114.33,114.33,201207.0,37.322515,127.06134
3747,신정6단지진흥,용인시 수지구,성복동,c_name_var,108.36,108.36,199912.0,37.31916,127.085041
11232,신정6단지상록,용인시 수지구,성복동,c_name_var,109.54,109.54,200001.0,37.31902,127.086837
3743,신정5단지성지,용인시 수지구,성복동,c_name_var,109.02,109.02,200005.0,37.321679,127.086884
9896,성호샤인힐즈,용인시 수지구,성복동,c_name_var,104.14,104.14,200507.0,37.3042,127.097743
115451,용인고림지구2차양우내안애에듀퍼스트,용인시 처인구,고림동,c_name_var,88.5,88.5,201903.0,37.248956,127.220325
17217,영화I-nix,용인시 처인구,고림동,b_no_trade,84.67,84.67,200206.0,37.252847,127.226356
9862,예진피렌체빌리지3차,용인시 처인구,고림동,c_name_var,82.86,82.86,200307.0,37.244586,127.230859
